x,y
3.500000000000000000e+02,3.500000000000000000e+01
3.500000000000000000e+02,5.303999999999999915e+01
3.500000000000000000e+02,7.107999999999999829e+01
3.500000000000000000e+02,8.912000000000000455e+01
3.500000000000000000e+02,1.071599999999999966e+02
3.680400000000000205e+02,3.500000000000000000e+01
3.844399999999999977e+02,3.910000000000000142e+01
3.910000000000000000e+02,5.385999999999999943e+01
3.680400000000000205e+02,7.107999999999999829e+01
3.852599999999999909e+02,7.107999999999999829e+01
3.910000000000000000e+02,8.829999999999999716e+01
3.844399999999999977e+02,1.047000000000000028e+02
3.680400000000000205e+02,1.071599999999999966e+02
2.920000000000000000e+02,1.050000000000000000e+02
2.920000000000000000e+02,1.230399999999999920e+02
2.920000000000000000e+02,1.410799999999999841e+02
2.920000000000000000e+02,1.591200000000000045e+02
2.920000000000000000e+02,1.771599999999999966e+02
3.100400000000000205e+02,1.050000000000000000e+02
3.264399999999999977e+02,1.090999999999999943e+02
3.330000000000000000e+02,1.238599999999999994e+02
3.100400000000000205e+02,1.410799999999999841e+02
3.272599999999999909e+02,1.410799999999999841e+02
3.330000000000000000e+02,1.583000000000000114e+02
3.264399999999999977e+02,1.746999999999999886e+02
3.100400000000000205e+02,1.771599999999999966e+02
4.080000000000000000e+02,1.050000000000000000e+02
4.080000000000000000e+02,1.230399999999999920e+02
4.080000000000000000e+02,1.410799999999999841e+02
4.080000000000000000e+02,1.591200000000000045e+02
4.080000000000000000e+02,1.771599999999999966e+02
4.260400000000000205e+02,1.050000000000000000e+02
4.424399999999999977e+02,1.090999999999999943e+02
4.490000000000000000e+02,1.238599999999999994e+02
4.260400000000000205e+02,1.410799999999999841e+02
4.432599999999999909e+02,1.410799999999999841e+02
4.490000000000000000e+02,1.583000000000000114e+02
4.424399999999999977e+02,1.746999999999999886e+02
4.260400000000000205e+02,1.771599999999999966e+02
2.350000000000000000e+02,1.830000000000000000e+02
2.350000000000000000e+02,2.010399999999999920e+02
2.350000000000000000e+02,2.190799999999999841e+02
2.350000000000000000e+02,2.371200000000000045e+02
